route_id,source_path,category,market_key,question_or_title,condition_id_sample,token_id_sample,keyword_hits
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2890,NBA: Will the Mavericks beat the Grizzlies by more than 5.5 points in their December 4 matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2891,NFL: Will the Falcons beat the Panthers by more than 3.5 points in their October 31st matchup?,,,nfl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2894,NBA: Will the Heat beat the Wizards by more than 7.5 points in their November 18th matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2895,NFL: Will the Jaguars beat the Texans by more than 3.5 points in their December 19 matchup?,,,nfl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2896,NBA: Will the Clippers beat the Celtics by more than 2.5 points in their December 8 matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2897,NFL: Will the Chiefs beat the Bengals by more than 3.5 points in their January 2 matchup?,,,nfl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2899,NFL: Will the Cardinals beat the Rams by more than 2.5 points in their December 13 matchup?,,,nfl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2900,Will the floor price of 'We Are All Going to Die' be above 1 ETH on June 14?,,,eth
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2901,Will the Spurs or the Grizzlies win their NBA play-in tournament matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2905,Will the FTX Crypto Cup Finals between Magnus Carlsen and Wesley So go to play-offs?,,,crypto
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2908,"2022 NBA Playoffs, Round 2: Who will win Celtics vs. Bucks?",,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2909,Will Surojit Chatterjee or Matt Huang win in their CryptoChamps Finals chess match?,,,crypto
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2911,Chess: Will the Van't Kruijs Opening (1. e3) be played at 2021 FIDE World Rapid Championship Open?,,,champions
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2912,NBA: Will the Lakers beat the Grizzlies by more than 2.5 points in their December 9 matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2915,Will Solana ($SOL) hit $35 or $50 first?,,,solana
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2917,NBA: Will the Bucks beat the Magic by more than 13.5 points in their December 28 matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2918,[From kain.eth] Will Synthetix capture more single day fees than Bitcoin by September 8?,,,bitcoin;eth
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2919,NBA: Will the Bulls beat the Pacers by more than 6.5 points in their December 26 matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2920,Will Surojit Chatterjee or Tekin Salimi win in their CryptoChamps Semifinals chess match?,,,crypto
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,macro,2921,Will annual inflation in the European Union be 5.9% or more in February?,,,inflation;nfl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2923,NHL: Will the Maple Leafs beat the Hurricanes by more than 1.5 goals in their February 7 matchup (7 PM ET)?,,,nhl
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,macro,2924,Who will win Suns v. Clippers: Western Conference Finals Game 6?,,,fed
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2925,NBA: Will the Pacers beat the Spurs by more than 3.5 points in their November 1st matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2926,NBA: Will the Heat beat the Thunder by more than 9.5 points in their November 15th matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2927,NBA: Will the Nets beat the Suns by more than 1.5 points in their November 27th matchup?,,,nba
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,crypto,2928,Which cryptocurrency will have higher market cap on November 12th: XRP or Polkadot?,,,crypto
PM_ALL_POLYMARKET_CONTRACT_PNL,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,sports,2929,(In-Game Trading) Will the Raiders or the Steelers win their NFL week 2 matchup?,,,nfl
