event_id,resolved_family,independence_cluster_id,title,slug,semantic_end_utc,asof_state,jurisdiction,primary_source_route,linked_asset,linked_asset_mapping_state,linked_asset_mapping_basis,revelation_state,revelation_precision,public_revelation_utc,safe_cutoff_utc,revelation_source_type,revelation_source_url,revelation_response_sha256,resolution_state,resolution_source_type,resolution_source_url,resolution_response_sha256,resolution_ambiguous,asset_data_state,asset_data_first_date,asset_data_last_date,asset_data_rows,asset_data_response_sha256,mandatory_account_gated_dependency,mandatory_field_state,adjudication_notes
219986,EARNINGS_EPS,69a84a816e323923cc0ea786,Will GoPro (GPRO) beat quarterly earnings?,gpro-quarterly-earnings-nongaap-eps-03-05-2026-0pt04,2026-03-05T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,GPRO,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
69094,EARNINGS_EPS,16056cf297b5ad9ebe959d00,Will Hyatt Hotels (H) beat quarterly earnings?,h-quarterly-earnings-nongaap-eps-11-06-2025-0pt49,2025-11-06T14:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,H,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
428546,EARNINGS_EPS,c155ff20af53f6a94e2ae548,Will Circle Internet (CRCL) beat quarterly earnings?,crcl-quarterly-earnings-gaap-eps-05-11-2026-0pt18,2026-05-11T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,CRCL,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
87221,EARNINGS_EPS,8c24f167252516643ac23aee,Will Asana (ASAN) beat quarterly earnings?,asan-quarterly-earnings-nongaap-eps-12-02-2025-0pt06,2025-12-02T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,ASAN,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
179864,EARNINGS_EPS,cbf1f7bcfaff2fb1cb0cc47b,Will Ford Motor (F) beat quarterly earnings?,f-quarterly-earnings-nongaap-eps-02-04-2026-0pt18,2026-02-10T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,F,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
358470,EARNINGS_EPS,b1b3cc0774fe279b27f78c73,Will IMAX (IMAX) beat quarterly earnings?,imax-quarterly-earnings-nongaap-eps-04-22-2026-0pt19,2026-04-30T21:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,IMAX,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
572856,EARNINGS_EPS,069410fb87e36d4b1e95ed51,Will Carnival (CCL) beat quarterly earnings?,ccl-quarterly-earnings-nongaap-eps-06-22-2026-0pt34,2026-06-22T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,CCL,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
715656,EARNINGS_EPS,1c4fcde0f549da3fc23fd2d1,Will Integra Lifesciences (IART) beat quarterly earnings?,iart-quarterly-earnings-nongaap-eps-07-29-2026-0pt48,2026-07-29T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,IART,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
559487,EARNINGS_EPS,5ceed5c319b44a8d03a48e6c,Will Kroger (KR) beat quarterly earnings?,kr-quarterly-earnings-nongaap-eps-06-18-2026-1pt58,2026-06-18T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,KR,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
62711,EARNINGS_EPS,13fac72007c648b945051892,Will BGC Group (BGC) beat quarterly earnings?,bgc-quarterly-earnings-nongaap-eps-11-06-2025-0pt28,2025-11-06T14:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,BGC,PASS,FROZEN_V2_1_STRUCTURAL_ROUTE,PENDING_PRIMARY_REVIEW,,,,,,,PENDING_PRIMARY_REVIEW,,,,false,PENDING_AVAILABILITY_PROBE,,,,,false,PASS,
